Episode	 Steps	 Score	 Best_Score	 Epsilon	
0	 640	 0.00	 -inf	 0.99	
1	 640	 0.00	 0.00	 0.99	
2	 640	 0.00	 0.00	 0.98	
3	 640	 0.00	 0.00	 0.97	
4	 640	 0.00	 0.00	 0.97	
5	 640	 0.00	 0.00	 0.96	
6	 640	 0.00	 0.00	 0.96	
7	 640	 0.00	 0.00	 0.95	
8	 640	 0.00	 0.00	 0.94	
9	 640	 0.00	 0.00	 0.94	
10	 640	 0.00	 0.00	 0.93	
11	 640	 0.00	 0.00	 0.92	
12	 640	 0.00	 0.00	 0.92	
13	 640	 0.00	 0.00	 0.91	
14	 640	 0.00	 0.00	 0.90	
15	 640	 0.00	 0.00	 0.90	
16	 640	 0.00	 0.00	 0.89	
17	 640	 0.00	 0.00	 0.89	
18	 640	 0.00	 0.00	 0.88	
19	 640	 0.00	 0.00	 0.87	
20	 640	 0.00	 0.00	 0.87	
21	 640	 0.00	 0.00	 0.86	
22	 640	 0.00	 0.00	 0.85	
23	 640	 0.00	 0.00	 0.85	
24	 640	 0.00	 0.00	 0.84	
25	 640	 0.00	 0.00	 0.83	
26	 640	 0.00	 0.00	 0.83	
27	 640	 0.00	 0.00	 0.82	
28	 640	 0.00	 0.00	 0.81	
29	 640	 0.00	 0.00	 0.81	
30	 640	 0.00	 0.00	 0.80	
31	 640	 0.00	 0.00	 0.80	
32	 640	 0.00	 0.00	 0.79	
33	 640	 0.00	 0.00	 0.78	
34	 640	 0.00	 0.00	 0.78	
35	 640	 0.00	 0.00	 0.77	
36	 640	 0.00	 0.00	 0.76	
37	 640	 0.00	 0.00	 0.76	
38	 640	 0.00	 0.00	 0.75	
39	 640	 0.00	 0.00	 0.74	
40	 640	 0.00	 0.00	 0.74	
41	 640	 0.00	 0.00	 0.73	
42	 640	 0.00	 0.00	 0.73	
43	 640	 0.00	 0.00	 0.72	
44	 640	 0.00	 0.00	 0.71	
45	 640	 0.00	 0.00	 0.71	
46	 640	 0.00	 0.00	 0.70	
47	 640	 0.00	 0.00	 0.69	
48	 640	 0.00	 0.00	 0.69	
49	 640	 0.00	 0.00	 0.68	
50	 640	 0.00	 0.00	 0.67	
51	 640	 0.00	 0.00	 0.67	
52	 640	 0.00	 0.00	 0.66	
53	 640	 0.00	 0.00	 0.65	
54	 640	 0.00	 0.00	 0.65	
55	 640	 0.00	 0.00	 0.64	
56	 640	 0.00	 0.00	 0.64	
57	 616	 0.13	 0.00	 0.63	
58	 640	 0.00	 0.13	 0.62	
59	 640	 0.00	 0.13	 0.62	
60	 640	 0.00	 0.13	 0.61	
61	 640	 0.00	 0.13	 0.60	
62	 640	 0.00	 0.13	 0.60	
63	 640	 0.00	 0.13	 0.59	
64	 640	 0.00	 0.13	 0.58	
65	 640	 0.00	 0.13	 0.58	
66	 481	 0.32	 0.13	 0.57	
67	 640	 0.00	 0.32	 0.57	
68	 640	 0.00	 0.32	 0.56	
69	 640	 0.00	 0.32	 0.55	
70	 640	 0.00	 0.32	 0.55	
71	 640	 0.00	 0.32	 0.54	
72	 364	 0.49	 0.32	 0.54	
73	 640	 0.00	 0.49	 0.53	
74	 640	 0.00	 0.49	 0.52	
75	 640	 0.00	 0.49	 0.52	
76	 640	 0.00	 0.49	 0.51	
77	 640	 0.00	 0.49	 0.51	
78	 304	 0.57	 0.49	 0.50	
79	 311	 0.56	 0.57	 0.50	
80	 354	 0.50	 0.57	 0.50	
81	 442	 0.38	 0.57	 0.49	
82	 640	 0.00	 0.57	 0.49	
83	 640	 0.00	 0.57	 0.48	
84	 501	 0.30	 0.57	 0.47	
85	 640	 0.00	 0.57	 0.47	
86	 640	 0.00	 0.57	 0.46	
87	 328	 0.54	 0.57	 0.46	
88	 640	 0.00	 0.57	 0.45	
89	 640	 0.00	 0.57	 0.44	
90	 640	 0.00	 0.57	 0.44	
91	 640	 0.00	 0.57	 0.43	
92	 640	 0.00	 0.57	 0.43	
93	 640	 0.00	 0.57	 0.42	
94	 640	 0.00	 0.57	 0.41	
95	 472	 0.34	 0.57	 0.41	
96	 640	 0.00	 0.57	 0.40	
97	 97	 0.86	 0.57	 0.40	
98	 616	 0.13	 0.86	 0.39	
99	 352	 0.50	 0.86	 0.39	
