Episode	 Steps	 Score	 Best_Score	 Epsilon	
0	 250	 0.00	 -inf	 1.00	
1	 250	 0.00	 0.00	 1.00	
2	 250	 0.00	 0.00	 0.99	
3	 250	 0.00	 0.00	 0.99	
4	 250	 0.00	 0.00	 0.99	
5	 250	 0.00	 0.00	 0.99	
6	 250	 0.00	 0.00	 0.98	
7	 250	 0.00	 0.00	 0.98	
8	 250	 0.00	 0.00	 0.98	
9	 250	 0.00	 0.00	 0.98	
10	 250	 0.00	 0.00	 0.97	
11	 250	 0.00	 0.00	 0.97	
12	 250	 0.00	 0.00	 0.97	
13	 250	 0.00	 0.00	 0.97	
14	 106	 0.62	 0.00	 0.96	
15	 250	 0.00	 0.62	 0.96	
16	 209	 0.25	 0.62	 0.96	
17	 250	 0.00	 0.62	 0.96	
18	 250	 0.00	 0.62	 0.95	
19	 250	 0.00	 0.62	 0.95	
20	 250	 0.00	 0.62	 0.95	
21	 250	 0.00	 0.62	 0.95	
22	 250	 0.00	 0.62	 0.94	
23	 250	 0.00	 0.62	 0.94	
24	 250	 0.00	 0.62	 0.94	
25	 250	 0.00	 0.62	 0.94	
26	 250	 0.00	 0.62	 0.93	
27	 250	 0.00	 0.62	 0.93	
28	 106	 0.62	 0.62	 0.93	
29	 250	 0.00	 0.62	 0.93	
30	 123	 0.56	 0.62	 0.93	
31	 145	 0.48	 0.62	 0.93	
32	 92	 0.67	 0.62	 0.93	
33	 250	 0.00	 0.67	 0.92	
34	 250	 0.00	 0.67	 0.92	
35	 250	 0.00	 0.67	 0.92	
36	 250	 0.00	 0.67	 0.92	
37	 94	 0.66	 0.67	 0.91	
38	 250	 0.00	 0.67	 0.91	
39	 250	 0.00	 0.67	 0.91	
40	 250	 0.00	 0.67	 0.91	
41	 168	 0.40	 0.67	 0.90	
42	 250	 0.00	 0.67	 0.90	
43	 237	 0.15	 0.67	 0.90	
44	 250	 0.00	 0.67	 0.90	
45	 250	 0.00	 0.67	 0.90	
46	 138	 0.50	 0.67	 0.89	
47	 165	 0.41	 0.67	 0.89	
48	 180	 0.35	 0.67	 0.89	
49	 250	 0.00	 0.67	 0.89	
50	 83	 0.70	 0.67	 0.89	
51	 250	 0.00	 0.70	 0.88	
52	 181	 0.35	 0.70	 0.88	
53	 250	 0.00	 0.70	 0.88	
54	 250	 0.00	 0.70	 0.88	
55	 250	 0.00	 0.70	 0.88	
56	 103	 0.63	 0.70	 0.87	
57	 98	 0.65	 0.70	 0.87	
58	 250	 0.00	 0.70	 0.87	
59	 154	 0.45	 0.70	 0.87	
60	 250	 0.00	 0.70	 0.87	
61	 152	 0.45	 0.70	 0.86	
62	 111	 0.60	 0.70	 0.86	
63	 250	 0.00	 0.70	 0.86	
64	 250	 0.00	 0.70	 0.86	
65	 145	 0.48	 0.70	 0.86	
66	 45	 0.84	 0.70	 0.86	
