Episode	 Steps	 Score	 Best_Score	 Epsilon	
0	 250	 0.00	 -inf	 1.00	
1	 250	 0.00	 0.00	 1.00	
2	 250	 0.00	 0.00	 0.99	
3	 250	 0.00	 0.00	 0.99	
4	 250	 0.00	 0.00	 0.99	
5	 250	 0.00	 0.00	 0.99	
6	 126	 0.55	 0.00	 0.98	
7	 250	 0.00	 0.55	 0.98	
8	 250	 0.00	 0.55	 0.98	
9	 250	 0.00	 0.55	 0.98	
10	 250	 0.00	 0.55	 0.97	
11	 250	 0.00	 0.55	 0.97	
12	 250	 0.00	 0.55	 0.97	
13	 250	 0.00	 0.55	 0.97	
14	 250	 0.00	 0.55	 0.96	
15	 250	 0.00	 0.55	 0.96	
16	 250	 0.00	 0.55	 0.96	
17	 250	 0.00	 0.55	 0.96	
18	 250	 0.00	 0.55	 0.95	
19	 250	 0.00	 0.55	 0.95	
20	 250	 0.00	 0.55	 0.95	
21	 250	 0.00	 0.55	 0.95	
22	 250	 0.00	 0.55	 0.94	
23	 250	 0.00	 0.55	 0.94	
24	 250	 0.00	 0.55	 0.94	
25	 250	 0.00	 0.55	 0.94	
26	 250	 0.00	 0.55	 0.93	
27	 250	 0.00	 0.55	 0.93	
28	 250	 0.00	 0.55	 0.93	
29	 250	 0.00	 0.55	 0.93	
30	 73	 0.74	 0.55	 0.93	
31	 250	 0.00	 0.74	 0.92	
32	 119	 0.57	 0.74	 0.92	
33	 238	 0.14	 0.74	 0.92	
34	 250	 0.00	 0.74	 0.92	
35	 100	 0.64	 0.74	 0.92	
36	 225	 0.19	 0.74	 0.91	
37	 250	 0.00	 0.74	 0.91	
38	 250	 0.00	 0.74	 0.91	
39	 109	 0.61	 0.74	 0.91	
40	 224	 0.19	 0.74	 0.91	
41	 250	 0.00	 0.74	 0.90	
42	 232	 0.16	 0.74	 0.90	
43	 250	 0.00	 0.74	 0.90	
44	 250	 0.00	 0.74	 0.90	
45	 190	 0.32	 0.74	 0.89	
46	 249	 0.10	 0.74	 0.89	
47	 250	 0.00	 0.74	 0.89	
48	 107	 0.61	 0.74	 0.89	
49	 105	 0.62	 0.74	 0.89	
50	 119	 0.57	 0.74	 0.89	
51	 91	 0.67	 0.74	 0.88	
52	 250	 0.00	 0.74	 0.88	
53	 153	 0.45	 0.74	 0.88	
54	 76	 0.73	 0.74	 0.88	
55	 233	 0.16	 0.74	 0.88	
56	 250	 0.00	 0.74	 0.88	
57	 250	 0.00	 0.74	 0.87	
58	 250	 0.00	 0.74	 0.87	
59	 102	 0.63	 0.74	 0.87	
60	 250	 0.00	 0.74	 0.87	
61	 51	 0.82	 0.74	 0.87	
62	 250	 0.00	 0.82	 0.86	
63	 250	 0.00	 0.82	 0.86	
64	 250	 0.00	 0.82	 0.86	
65	 250	 0.00	 0.82	 0.86	
66	 94	 0.66	 0.82	 0.86	
